category,prompt,rank,primary_title,genres,match_score,final_score,intent_mode,inferred_genres,excluded_genres,excluded_facets,negative_match_signal,genre_miss_signal
clear genre mood,"I want something exciting, futuristic, and intense",1,Tenet,"Action,Sci-Fi,Thriller",90.7,0.9526351351351351,explicit_desire,"Action, Sci-Fi, Thriller",none,none,0.0,0.0
clear genre mood,"I want something exciting, futuristic, and intense",2,Continuum,"Action,Sci-Fi,Thriller",86.5,0.904081446311176,explicit_desire,"Action, Sci-Fi, Thriller",none,none,0.0,0.0
clear genre mood,"I want something exciting, futuristic, and intense",3,Edge of Tomorrow,"Action,Adventure,Sci-Fi",86.5,0.8826172463141574,explicit_desire,"Action, Sci-Fi, Thriller",none,none,0.0,0.30612244897959184
clear genre mood,"I want something exciting, futuristic, and intense",4,Star Trek: Strange New Worlds,"Action,Adventure,Sci-Fi",86.7,0.8755098686662395,explicit_desire,"Action, Sci-Fi, Thriller",none,none,0.0,0.30612244897959184
clear genre mood,"I want something exciting, futuristic, and intense",5,Inception,"Action,Adventure,Sci-Fi",84.0,0.8680774362338067,explicit_desire,"Action, Sci-Fi, Thriller",none,none,0.0,0.30612244897959184
clear genre mood,"I want something exciting, futuristic, and intense",6,Predestination,"Action,Drama,Sci-Fi",86.1,0.8651957707845737,explicit_desire,"Action, Sci-Fi, Thriller",none,none,0.0,0.30612244897959184
clear genre mood,"I want something exciting, futuristic, and intense",7,The Matrix,"Action,Sci-Fi",82.7,0.8555975238890295,explicit_desire,"Action, Sci-Fi, Thriller",none,none,0.0,0.30612244897959184
clear genre mood,"I want something exciting, futuristic, and intense",8,"I, Robot","Action,Mystery,Sci-Fi",89.7,0.849202344926283,explicit_desire,"Action, Sci-Fi, Thriller",none,none,0.0,0.30612244897959184
clear genre mood,"I want something exciting, futuristic, and intense",9,Looper,"Action,Drama,Sci-Fi",83.1,0.846802783202397,explicit_desire,"Action, Sci-Fi, Thriller",none,none,0.0,0.30612244897959184
clear genre mood,"I want something exciting, futuristic, and intense",10,X2: X-Men United,"Action,Sci-Fi,Thriller",86.8,0.8427367786705625,explicit_desire,"Action, Sci-Fi, Thriller",none,none,0.0,0.0
clear comfort,"I want a comforting, funny, wholesome family movie",1,Paddington 2,"Adventure,Comedy,Family",85.3,0.9557377647918188,explicit_desire,"Family, Comedy",none,none,0.0,0.0
clear comfort,"I want a comforting, funny, wholesome family movie",2,English Vinglish,"Comedy,Drama,Family",84.8,0.9405168005843682,explicit_desire,"Family, Comedy",none,none,0.0,0.0
clear comfort,"I want a comforting, funny, wholesome family movie",3,The Christmas Chronicles,"Adventure,Comedy,Family",85.4,0.9294685902118335,explicit_desire,"Family, Comedy",none,none,0.0,0.0
clear comfort,"I want a comforting, funny, wholesome family movie",4,Secondhand Lions,"Comedy,Drama,Family",82.1,0.9241508400292182,explicit_desire,"Family, Comedy",none,none,0.0,0.0
